Job Name                ,Fedora,Ubuntu,Centos,Undercloud,Overcloud,HA,Reboot,Update,VLAN,Test Env,CI Overcloud,Swift Scale,Block Scale,Stable,Maintenance,No merge.py,Cinder Ceph,Cinder NFS
ubuntu-uc-oc-ha-reboot  ,      ,x     ,      ,x         ,x        ,x ,x     ,      ,    ,        ,            ,           ,           ,      ,           ,           ,           ,          
fedora-oc-ha-update     ,x     ,      ,      ,          ,x        ,x ,      ,x     ,    ,        ,            ,           ,           ,      ,           ,           ,           ,x         
fedora-uc-reboot        ,x     ,      ,      ,x         ,         ,  ,x     ,      ,    ,        ,            ,           ,           ,      ,           ,           ,           ,          
ubuntu-oc-update        ,      ,x     ,      ,          ,x        ,  ,      ,x     ,    ,        ,            ,x          ,           ,      ,           ,x          ,x          ,          
fedora-testenv          ,x     ,      ,      ,          ,         ,  ,      ,      ,    ,x       ,            ,           ,           ,      ,           ,           ,           ,          
ubuntu-ci-deploy-vlan   ,      ,x     ,      ,          ,         ,  ,      ,      ,x   ,        ,x           ,           ,           ,      ,           ,           ,           ,          
fedora-oc-ha-reboot-vlan,x     ,      ,      ,          ,x        ,x ,x     ,      ,x   ,        ,            ,           ,x          ,      ,           ,x          ,x          ,          
fedora-oc-ha-stable     ,x     ,      ,      ,          ,x        ,x ,      ,      ,    ,        ,            ,           ,           ,x     ,           ,           ,           ,          
ubuntu-oc-ha-stable     ,      ,x     ,      ,          ,x        ,x ,      ,      ,    ,        ,            ,           ,           ,x     ,           ,           ,           ,          
fedora-oc-maintenance   ,x     ,      ,      ,          ,x        ,  ,      ,      ,    ,        ,            ,           ,           ,      ,x          ,           ,           ,          
centos-oc-ha-update     ,      ,      ,x     ,          ,x        ,x ,      ,x     ,    ,        ,            ,           ,           ,      ,           ,x          ,           ,          
